Frage,Antwort1,Antwort2,Antwort3,KorrekteAntwort
Was ist die Hauptstadt von Deutschland?,Berlin,Madrid,Paris,Berlin
Welcher Planet ist der dritte in unserem Sonnensystem?,Mars,Erde,Venus,Erde
Wer schrieb "Romeo und Julia"?,Charles Dickens,William Shakespeare,Jane Austen,William Shakespeare
Wie viele Kontinente gibt es auf der Welt?,4,6,7,7
Was ist die Hauptzutat in Guacamole?,Tomaten,Avocado,Zwiebeln,Avocado
Welcher Fluss fließt durch Ägypten?,Nil,Donaue,Schelde,Nil
Wie viele Beine hat ein Spinnenbär?,4,6,8,8
In welchem Jahr wurde die Unabhängigkeit der USA erklärt?,1776,1789,1801,1776
Welcher Berg ist der höchste der Welt?,Mount Kilimanjaro,Mount Everest,Matterhorn,Mount Everest
Was ist die Hauptstadt von Australien?,Sydney,Melbourne,Canberra,Canberra
Welches Element hat das chemische Symbol 'O'?,Sauerstoff,Gold,Eisen,Sauerstoff
Wie nennt man eine Gruppe von Wölfen?,Herde,Trupp,Rudel,Rudel
In welchem Jahr wurde die Berliner Mauer errichtet?,1945,1950,1961,1961
Welches Tier ist der König des Dschungels?,Elefant,Löwe,Leopard,Löwe
Was ist die Hauptzutat in Sushi?,Reis,Nudeln,Kartoffeln,Reis
Wer malte die Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Leonardo da Vinci
Wie nennt man die Studie von Vögeln?,Ornithologie,Zoologie,Entomologie,Ornithologie
Was ist der Durchmesser der Erde in Kilometern?,10.000 km,20.000 km,12.742 km,12.742 km
Welcher Planet wird als der "Rote Planet" bezeichnet?,Venus,Jupiter,Mars,Mars
Wer schrieb "Der Herr der Ringe"?,George R.R. Martin,J.K. Rowling,J.R.R. Tolkien,J.R.R. Tolkien
Was ist die Hauptzutat in Hummus?,Kichererbsen,Linsen,Bohnen,Kichererbsen
Welches Element hat das chemische Symbol 'H'?,Wasserstoff,Helium,Kohlenstoff,Wasserstoff
Wie nennt man eine Gruppe von Fischen?,Herde,Schwarm,Gruppe,Schwarm
In welchem Jahr wurde die Magna Carta unterzeichnet?,1215,1300,1401,1215
Welches Tier ist der größte auf dem Land lebende Fleischfresser?,Löwe,Tiger,Braunbär,Tiger
Was ist die Hauptzutat in Pesto?,Tomaten,Spinat,Basilikum,Basilikum
Wer entdeckte die Schwerkraft mit einem Apfel?,Isaac Newton,Galileo Galilei,Albert Einstein,Isaac Newton
Welches Land hat die meisten Einwohner?,Indien,China,USA,China
Was ist die Hauptstadt von Japan?,Seoul,Beijing,Tokio,Tokio
Welcher Ozean liegt östlich von Australien?,Atlantik,Pazifik,Indischer Ozean,Pazifik
